weight,max_accel_g,max_airspeed,id
34904 lb,2.02,430.4,1001
43712 lb,1.66,420.0,1012
34804 lb,2.12,553.6,1015
44806 lb,2.68,628.8,1016
42407 lb,1.8,636.8,1023
38528 lb,0.5,504.8,1024
35747 lb,0.76,608.8,1029
32688 lb,1.11,504.0,1038
39082 lb,2.21,539.2,1042
33820 lb,2.67,598.4,1043
30982 lb,1.15,536.8,1049
31749 lb,1.78,451.2,1059
40164 lb,0.49,536.0,1074
39807 lb,0.63,578.4,1083
38614 lb,--,470.4,1086
30021 lb,1.81,543.2,1088
43227 lb,0.51,463.2,1095
35384 lb,1.46,618.4,1104
41331 lb,1.76,635.2,1105
35882 lb,--,500.0,1107
43957 lb,0.86,481.6,1109
33106 lb,1.48,484.8,1114
40611 lb,2.15,521.6,1121
29121 lb,2.94,535.2,1135
32631 lb,1.32,495.2,1136
44534 lb,1.25,528.8,1139
32148 lb,--,496.0,1141
33169 lb,2.36,453.6,1151
28683 lb,1.69,428.8,1159
32822 lb,1.11,461.6,1164
31494 lb,0.76,440.8,1167
25484 lb,2.43,587.2,1169
40726 lb,2.73,530.4,1180
42440 lb,--,511.2,1181
33929 lb,--,489.6,1183
39468 lb,2.81,509.6,1185
32882 lb,1.64,518.4,1191
28109 lb,1.65,540.0,1193
36328 lb,1.46,506.4,1198
38168 lb,2.99,400.0,1213
28069 lb,1.24,445.6,1214
25046 lb,2.73,588.0,1217
38237 lb,1.93,452.0,1225
37995 lb,0.93,573.6,1230
42493 lb,0.59,415.2,1232
34021 lb,2.72,576.0,1234
38515 lb,2.22,423.2,1240
31127 lb,2.09,436.8,1249
25923 lb,2.54,457.6,1250
26107 lb,1.42,470.4,1254
36260 lb,2.69,420.0,1257
25612 lb,2.46,413.6,1264
25156 lb,2.98,460.0,1277
43424 lb,2.21,413.6,1289
36131 lb,1.8,633.6,1292
41698 lb,2.89,620.8,1297
43349 lb,1.77,518.4,1302
28912 lb,2.44,590.4,1323
38139 lb,1.43,517.6,1328
41298 lb,2.88,441.6,1330
43930 lb,1.66,524.0,1331
37195 lb,--,597.6,1340
29787 lb,2.23,460.8,1342
40184 lb,2.3,408.8,1345
44471 lb,2.13,519.2,1353
34832 lb,1.75,574.4,1358
43255 lb,1.19,444.8,1363
29622 lb,0.81,407.2,1366
26972 lb,0.77,571.2,1384
36858 lb,1.96,521.6,1388
41571 lb,2.85,593.6,1401
38972 lb,2.85,623.2,1402
40880 lb,2.97,489.6,1409
38315 lb,0.88,538.4,1415
30195 lb,2.67,532.8,1423
36902 lb,1.69,555.2,1424
27045 lb,--,639.2,1426
32376 lb,2.01,601.6,1428
39417 lb,1.72,636.8,1429
26331 lb,1.41,562.4,1443
30579 lb,1.46,552.0,1444
36225 lb,--,621.6,1451
35294 lb,2.06,433.6,1458
33584 lb,1.62,591.2,1463
30263 lb,2.18,577.6,1464
30237 lb,1.62,500.0,1467
30780 lb,1.28,512.8,1488
30300 lb,1.27,547.2,1499
38696 lb,2.59,608.8,1501
43417 lb,0.55,421.6,1505
34548 lb,0.9,423.2,1512
35986 lb,2.63,495.2,1513
25590 lb,0.43,542.4,1514
27217 lb,2.66,456.8,1516
44546 lb,2.05,512.8,1528
42874 lb,2.98,638.4,1531
38451 lb,--,470.4,1535
30746 lb,1.08,545.6,1545
35740 lb,0.98,486.4,1549
31087 lb,1.83,596.0,1550
30532 lb,0.89,529.6,1554
40802 lb,2.13,561.6,1555
31872 lb,2.94,459.2,1569
42984 lb,0.76,615.2,1581
38135 lb,1.88,516.8,1584
44891 lb,--,532.8,1594
38439 lb,0.95,492.8,1595
37679 lb,0.74,408.8,1599
42185 lb,1.97,445.6,1603
37982 lb,0.55,594.4,1607
34672 lb,0.51,493.6,1608
39930 lb,1.54,436.0,1612
43894 lb,0.97,544.8,1613
34028 lb,0.76,416.0,1620
27435 lb,--,579.2,1622
36538 lb,1.64,611.2,1629
39659 lb,2.29,572.0,1631
40749 lb,0.54,456.8,1633
39928 lb,2.71,481.6,1640
30740 lb,2.72,623.2,1643
26814 lb,2.9,473.6,1646
39093 lb,--,560.8,1647
25256 lb,1.25,633.6,1649
33282 lb,0.45,451.2,1652
30392 lb,2.46,414.4,1656
30611 lb,1.45,635.2,1663
25269 lb,0.84,468.0,1670
37340 lb,1.72,561.6,1679
29318 lb,2.61,481.6,1685
40235 lb,1.95,502.4,1687
30585 lb,0.61,528.0,1693
25149 lb,--,616.8,1698
29978 lb,1.51,591.2,1704
42852 lb,0.43,440.0,1705
39352 lb,2.76,458.4,1707
28067 lb,1.25,531.2,1710
35182 lb,0.82,557.6,1717
42566 lb,2.78,562.4,1718
27441 lb,2.38,616.8,1734
40500 lb,--,639.2,1744
42595 lb,1.41,615.2,1751
43795 lb,1.38,460.0,1757
25177 lb,--,504.8,1763
26504 lb,1.96,600.0,1765
39762 lb,2.68,587.2,1783
41934 lb,--,469.6,1796
41808 lb,2.46,586.4,1798
41384 lb,1.15,616.8,1800
37698 lb,--,587.2,1802
28660 lb,0.9,581.6,1810
33418 lb,2.81,495.2,1816
34286 lb,2.96,527.2,1826
35097 lb,0.53,531.2,1830
41978 lb,--,515.2,1834
32617 lb,0.99,452.0,1850
42845 lb,0.82,537.6,1852
42912 lb,1.34,555.2,1853
44261 lb,0.83,480.8,1854
38039 lb,1.0,569.6,1855
40233 lb,2.14,416.0,1860
26482 lb,1.44,636.0,1886
35804 lb,0.66,477.6,1888
33179 lb,2.31,639.2,1890
42118 lb,2.24,544.0,1891
37706 lb,2.97,517.6,1897
25642 lb,--,424.0,1906
42452 lb,0.74,560.8,1910
31510 lb,1.77,431.2,1914
37031 lb,1.53,472.0,1927
35937 lb,--,584.8,1929
33107 lb,0.91,571.2,1947
42360 lb,0.49,536.0,1950
40731 lb,2.22,609.6,1953
25437 lb,1.56,424.8,1959
29565 lb,--,493.6,1962
26678 lb,2.53,424.0,1965
41021 lb,--,508.0,1989
26753 lb,2.18,435.2,1992
25194 lb,2.25,588.0,1994
44386 lb,2.7,412.0,1996
29564 lb,2.38,550.4,2002
31716 lb,1.17,524.0,2003
29769 lb,--,534.4,2009
31250 lb,0.47,516.0,2025
44566 lb,0.68,498.4,2026
26566 lb,1.04,515.2,2028
41372 lb,1.21,617.6,2029
38045 lb,1.41,617.6,2038
30683 lb,0.7,568.8,2042
43470 lb,2.1,440.0,2044
34310 lb,2.38,607.2,2052
31390 lb,--,612.0,2060
38770 lb,0.71,469.6,2068
33395 lb,0.87,528.0,2069
33324 lb,1.19,445.6,2072
40076 lb,2.28,408.8,2074
34380 lb,2.62,596.0,2076
28816 lb,2.9,551.2,2088
31188 lb,1.42,448.8,2102
38902 lb,2.57,483.2,2111
32487 lb,--,463.2,2114
39036 lb,--,532.8,2122
43582 lb,--,570.4,2123
43007 lb,1.31,476.8,2125
43247 lb,2.5,557.6,2126
31078 lb,0.49,512.8,2140
27702 lb,1.61,598.4,2146
37225 lb,2.74,516.8,2153
43536 lb,0.47,445.6,2159
43015 lb,2.88,410.4,2175
33292 lb,1.72,456.8,2176
